,City,Cloudiness %,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vaini,0,IN,1551657600,88,15.34,74.49,17.0,0.52
1,baza,0,ES,1551661091,53,37.49,-2.77,11.11,0.45
2,santa rosa,92,AR,1551661224,90,-36.62,-64.29,20.09,3.52
3,mahebourg,64,MU,1551661147,81,-20.41,57.7,26.11,3.72
4,punta arenas,40,CL,1551660786,61,-53.16,-70.91,9.0,8.2
5,khatanga,32,RU,1551661221,70,71.98,102.47,-18.89,7.72
6,busselton,0,AU,1551661213,31,-33.64,115.35,25.0,8.22
7,hilo,90,US,1551661224,60,19.71,-155.08,23.89,4.1
8,barrow,92,AR,1551661226,55,-38.31,-60.23,23.09,6.92
9,ovalle,0,CL,1551660994,82,-30.6,-71.2,18.52,1.22
10,ushuaia,75,AR,1551657600,40,-54.81,-68.31,11.0,4.1
11,albany,90,US,1551661225,80,42.65,-73.75,1.11,1.12
12,avarua,68,CK,1551659400,69,-21.21,-159.78,28.0,4.1
13,hobart,75,AU,1551660976,30,-42.88,147.33,22.22,4.6
14,vardo,90,US,1551661188,94,39.62,-77.74,1.11,3.1
15,carnarvon,0,ZA,1551661228,58,-30.97,22.13,13.99,1.52
16,butaritari,92,KI,1551661210,100,3.07,172.79,26.29,4.67
17,jamestown,48,AU,1551661046,78,-33.21,138.6,24.74,2.07
18,shreveport,90,US,1551661142,93,32.52,-93.77,5.0,5.7
19,lebu,12,ET,1551657600,77,8.96,38.73,15.0,4.1
20,torbay,90,CA,1551661226,85,47.66,-52.73,-4.44,6.7
21,changji,0,CN,1551660997,82,32.07,116.17,3.64,1.22
22,akureyri,75,IS,1551657600,89,65.68,-18.09,0.0,7.2
23,beidao,92,CN,1551660997,88,34.57,105.89,-1.46,1.22
24,ayagoz,76,KZ,1551661234,95,47.96,80.43,-5.91,1.17
25,guerrero negro,0,MX,1551661234,71,27.97,-114.04,17.67,7.32
26,swan hill,48,AU,1551661047,71,-35.34,143.56,26.34,2.02
27,beitbridge,32,ZA,1551660998,70,-22.21,29.99,26.44,5.47
28,atuona,0,PF,1551661236,100,-9.8,-139.03,27.49,5.42
29,kapaa,90,US,1551661101,56,22.08,-159.32,25.0,8.7
30,rikitea,68,PF,1551661237,100,-23.12,-134.97,26.39,5.47
31,shingu,75,JP,1551657600,93,33.72,135.99,12.0,2.1
32,mataura,0,NZ,1551661206,54,-46.19,168.86,20.56,3.13
33,oistins,40,BB,1551657600,78,13.07,-59.53,25.0,6.7
34,ribeira grande,75,PT,1551659400,67,38.52,-28.7,15.0,6.2
35,bilma,0,NE,1551661241,25,18.69,12.92,12.94,4.37
36,bredasdorp,0,ZA,1551657600,87,-34.53,20.04,16.0,1.0
37,kamen-rybolov,0,RU,1551661002,75,44.75,132.04,0.62,0.17
38,mackenzie,1,CA,1551657600,36,55.34,-123.09,-9.0,4.6
39,oranjestad,20,AW,1551657600,78,12.52,-70.03,26.0,9.3
40,yellowknife,20,CA,1551661118,39,62.45,-114.38,-11.0,2.1
41,lorengau,0,PG,1551661242,93,-2.02,147.27,29.34,2.57
42,los palacios,88,CU,1551661242,86,22.59,-83.25,23.77,0.82
43,airai,8,TL,1551661243,82,-8.93,125.41,24.34,0.72
44,kochevo,75,BG,1551659400,93,42.1,24.92,3.0,0.5
45,college,90,US,1551661233,85,64.86,-147.8,-3.33,1.62
46,saldanha,88,PT,1551661244,82,41.42,-6.55,11.02,6.02
47,tuatapere,56,NZ,1551661206,54,-46.13,167.69,20.56,3.13
48,arraial do cabo,88,BR,1551661244,95,-22.97,-42.02,25.99,3.22
49,mahanoro,80,MG,1551661245,98,-19.9,48.8,23.14,0.87
50,talnakh,32,RU,1551661245,64,69.49,88.39,-22.64,1.97
51,nevsehir,40,TR,1551658800,86,38.62,34.71,-1.0,2.6
52,manthani,0,IN,1551661006,89,18.65,79.67,21.24,1.67
53,kahului,40,US,1551661223,53,20.89,-156.47,27.0,7.7
54,maniwaki,88,CA,1551661068,73,46.38,-75.98,-6.09,1.97
55,jiazi,20,CN,1551657600,100,19.61,110.49,22.0,2.0
